,publisedAt,username,commentDisplay
18,2025-12-05T06:23:26Z,@mochamadmaksum471,"REDONOMONASI = SANERING th.1965.<br>Kebijakan Ekonomi yang dilakukan pemerintah  sejak Gunting Syafrudin , SANERING , Pakto merevaluasi Rupiah dan mendevalauasi Rupiah GAGAL TOTAL , korban ratusan juta rakyat kecil hingga jumlah warga miskin meningkat .<br>Rencana REDONOMINASI akan sukes  bila  persediaan SEMBAKO cukup di pasaran dan harga tidak naik . Kalau barang kosong harga pasti naik terjadilah HYPER INFLASI ,  juga  kwalitas uang REDONOMINASI baik = setara dengan uang lama ,  jangan seperti dulu uang SANERING  kecil  kaya  uang  mainan .<br>Ketahuilah bahwa penjahat EKONOMI di Indonesia banyak sekali.<br>Pengambil kebijakan hanya menyoroti rakyat klas menengah dan atas tak memikirkan ratusan juta  rakyat  miskin .<br>Pikir yang baik - baik , maksud nya mau memperbaiki ekonomi rakyat atau mau menghancurkan ekonomi rakyat .<br>Gitu pak Menteri Keuangan ."
19,2025-12-04T12:31:17Z,@noone-u1r4c,Jaman sekarang anak2 udah pinta2
20,2025-12-04T11:22:32Z,@venoza4120,"Langkah bagus ,untuk maksa tikus berdasi ngeluarin uangnya atau membiarkan busuk diberangkas"
21,2025-12-04T09:14:04Z,@dewaangga5314,Krna dulu   dulu org nya mashi gk pinter kyk skrg
22,2025-12-04T08:22:33Z,@akhlaqdanbudipekerti4817,"Yg bikin inflasi ya para pedagang di lapangan<br>Trus klo tidak mencetak uang cent,pasti inflasi,karena cenderung membulatkan harga"
23,2025-12-04T07:32:00Z,@Ahmadkasirwan,"Yg berhujah itu adalah org yg tk mau kemajuan negara sendiri,dan Indonesia itu negara kaya dan kamu Singapura negara TDK punya tapi nilai nya tinggi ok,"
24,2025-12-04T02:58:18Z,@HendangSaripudin-o7g,Jangan menakut nakuti masyarakat jgn pikir hanya kamu yg pintar
25,2025-12-03T22:17:28Z,@danoerdhara3963,"Keknya dibali cepet menyesuaikan deh, karna dari dulu udah ngomongnya 1jt =1000, <br>Iyaa, kami dibali sudah dari dulu menggampangkan (biar gampang) dan semuanya cepet mengerti"
26,2025-12-03T15:41:04Z,@RobertTet,"Manusia itu engak akan bisa di pisahkan oleh agama, nabi Muhammad Saw, bersabda: rejeki itu makan yg kita makan dan pakaian yg kita pakai, dan dalam QS: attaqabun:16 : barang siapa yg dirinya terhindar dari sifat pelit mereka itulah org yg beruntung, so. guys apapun rencana pemerintah soal redominisasi rupiah, patokannya satu belanjain terus uang yg kalian punya, karna itu akan menjadi triger/pemicu datangnya rezeki yg lebih banyak lagi dan barokah tentunya, dan thank untuk kak reymon chin untuk infonya🤲#🇮🇩strong"
27,2025-12-03T14:49:20Z,@VardiLiwee,Menurutku Bisa Sih. Asal Semua Berita dan di Bantu Para Youtuber Kompak Memberitahukan/Sosialisasikan Bahwan Nominal Mata Uang Sudah Di Ubah
28,2025-12-03T13:24:55Z,@sansanmaulana139,"Gak kebayang kalo yang nimbun uang korupsi bisa di tuker nggak ya, bakal ketahuan"
29,2025-12-03T13:07:29Z,@Asmin-l4b1g,mata uang indo.kecil di banding mata uang negara tetangga.mls.plipina dan.bangkok.masa indo tdk bisa ayo jika kontenten ini.betul.telusuri buat mata uang indo juga tinggi.jangan cuman bohong.
30,2025-12-03T11:51:41Z,@FebriAbdulkarim,Contoh Ringgit gak sih?
31,2025-12-03T08:48:06Z,@MariamBin-Sadrel,Mudah mudahan lancar terus redominasi rupiah Indonesia 🇮🇩 maju terus Indonesia 🇮🇩 aamiin ya rabbal alamin
32,2025-12-03T03:33:55Z,@WahyuKiya-w9n,Rakyat udah redominasi sendiri sih.. (pinjam dulu 100) 😅
33,2025-12-02T13:09:41Z,@Pdka.Sundaaa,Tar kalo 500 perak jadi 0.5 atau jd ga ada?
34,2025-12-02T07:36:26Z,@LukmanLukman-d6l,Alaah indonesia. 000 di buang uang nya belum ber edar.cerita sudah selangit.
35,2025-12-02T06:38:58Z,@AniT-vk4hj,Kalo nilainya itu tetap hanya disederhanakan aja angkanya
36,2025-12-02T06:27:03Z,@MozezKawab,Harapan saya uang para koruptor tidak bisa di tukar😂😂😂😂 karena ada penyelidikan ketika penukaran lebih 10 milyar😂😂😂😂😂akan ada profesi dadakan yaitu profesi menukar uang karena uang koruptor keluar😂😂😂😂😂😂😂😂
37,2025-12-02T03:39:08Z,@kiflidomili4328,Dulu gak ada internet.
38,2025-12-01T22:26:33Z,@info2846,Dulu gagal karena info itu lmbat<br>Skrng info secepat kilat
39,2025-12-01T11:56:26Z,@deswaniemelik22,Mending uang indonesia di bekap ulang deh atau di sertipikatin pk mas tuh misal uang d bang global ni uang indo nominal berapa triliun tapi ada bentuknya mas
40,2025-12-01T09:06:19Z,@akuidanex,"Gua si yakin,,,karna yakin sama pak Mentri nya,, jika yang belum tau siapa beliau cari tau siapa dia sebenarnya"
41,2025-12-01T06:25:17Z,@AGUS-jm3dw,Sok toee
42,2025-12-01T05:00:58Z,@Tamtampagaraji123,Ya beda lah. Tahun 1965 situasi politik gak menentu dan inflasi tinggi serta ekonomi gak stabil. Kalau sekarang semua relatif stabil..
43,2025-12-01T01:43:02Z,@ainursidik-w4z,Adminya belajar lagi <br>Kamu kira rakyat Indonesia susah kah untuk memahami redenominasi
44,2025-11-30T19:03:57Z,@kontenmasdanu,Kalau terjadi pastikan bank bank di seluruh Indonesia siap menikam kan uang lama jadi uang baru itu
45,2025-11-30T16:16:41Z,@sobirinsobirin668,Kl dulu th 1965 ekonomi indonesia belum kuat kl sekarang ekonomi indonesia  udah kuat tinggal belajar penyesuean
46,2025-11-30T10:20:36Z,@JamHuri-b2r,"G ada yg gagal, saat itu ber jln sgt baik, mua harga jadi sgt murah meriah, krn dgn nominal kecil, tapi nilai sama, krn sy mengalami sendiri saat itu."
47,2025-11-30T10:01:52Z,@wandysusilochandra1025,Jika sdh diredonaminasi saja nilai uang kita masih kecil juga DP ringgit malaysia. Misal 100000 jadi 100. Sedangkan buat ringgit jadi 100000 : 4000= 25 ringgit
48,2025-11-30T07:22:52Z,@saifaldoorton4707,Aku rasa  redenominasi 1965 itu gagal karena kekacauan politik. Kalau sekarang yg jadi rintangan adalah para pejabat korup yg akan berusaha menggagalkan rancangan redenomisasi ini.
49,2025-11-30T04:49:21Z,@ArsyiAl,"Yakin pasti bisa,karena liat posisi ekonomi Indonesia"
50,2025-11-30T04:20:44Z,@Jilongoverload,Dulu gagal karena inflasi hampir 200%
51,2025-11-29T14:52:30Z,@ilikeu-1tahunyangakandatang,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=343"">5:43</a> not onle"
52,2025-11-29T13:31:22Z,@EdawnCLVZ,"Ingat bahwa koruptor kita ini di atas hukum, bahkan mereka yang bikin hukumnya. Sekarang ini mereka masih begitu kuat bisa bikin hukum buat melewatkan mereka sendiri. Belum lagi bila sampai tertangkap, nanti bisa di-amnesti Presiden. Saya rasa sekarang dengan kepercayaan rakyat kepada penguasa lagi paling rendahnya sejak Indonesia merdeka, ini bukan saat yg tepat buat re-denominasi."
53,2025-11-29T07:38:42Z,@DikiPaolo,"Insyallah sekarang sosialiasi lebih mudah, dan sdm kita semakin berkembang. Dan cukup mudah beradaptasi"
54,2025-11-28T14:37:18Z,@satriabiruku,tahun 65 sanering kata nenek gw uang mati alias uang lama mendadak dinyatakan ngga laku jadi banyak orang abis jual barang trus duitnya ga kepakek alias ngga laku
55,2025-11-28T11:19:37Z,@AstilaJihan,"KETAR KETIR NIH , PARA KORUPTOR YG TIMBUN UANG RUPIAH TUNAI"
56,2025-11-28T11:03:40Z,@wahyuoconnormotovlog2258,"Harus sering di iklan nin seluruh TV nasional, bahkan di iklan media sosial dan media hiburan juga seperti YouTube sejenis nya,"
57,2025-11-28T04:44:51Z,@nurizal1353,Klau Jadi itu 1000 ajh 1 rupiah klau 100 perak apa
58,2025-11-28T04:10:33Z,@DeKualChannel,kalo 100 rupiah jadi gimana
59,2025-11-27T23:52:42Z,@malamsyah7292,Coba saja beli ayam Rp.50 jual sate Rp.1000 yah...tak pernah laku satenya karena terlalu boros beli satenya pun ditinggalkan bikin sendiri saja
60,2025-11-27T16:27:20Z,@dausfirdaus-ix5vw,Gak bakal terealisasikan karna efek redenominasi malah bikin pekerja yang gaji UMR  sadar bahwa gaji dia gak sesuai dll sulit dijelaskan
61,2025-11-27T14:52:48Z,@Handa-m9d,"Harus berani, kalau tidak berani Indonesia akan mundur"
62,2025-11-27T14:08:24Z,@logian3159,"Tapi kalo korea selatan nominalnya gede, tapi nilainya kuat, gimana caranya itu ya🧐"
63,2025-11-27T06:25:20Z,@iMusikai,"Sosialisasi lah intinya, jangan langsung terapin.<br>Orang dah pada pinter, gak gaptek kek jaman dulu.<br>Gimna sih lo?"
64,2025-11-27T02:41:30Z,@amanuddinkadir,para kuroptor bakal mati berdiri wang disimpan dibunker ga laku mesti ditukar akan ketahuan darimana kuroptor dapat wang banyak
65,2025-11-27T01:31:23Z,@alfirlagunagisrana4722,"tujuanya Besar Pak Purbaya Redenominasi  biar uang2 yang ditumpuk koruptor dalam bentuk cash tidak benilai lagi atau paling tidak harus ditukarkan, sehingga uang yg tadinya di simpan atau diam bergerak mau tidak mau di gerakan karna adanya tuntutan masa berlaku 1 tahun sebelum transisi mata uang baru. Dan juga uang2 simpanan para oknum2 ini tidak dipakai pada kepentingan tertentu, dan di desak masuk kedalam prekonomian masyarakat dengan cara di belanjakan atau di tukar dengan cara di belanjakan."
66,2025-11-27T00:35:53Z,@aryaputra6356,Optimis lah..karna korupsi bakal ketahuan karna menyimpan uang kes terlalu banyak
67,2025-11-26T22:34:53Z,@muhumar8824,"Apakah dolar dirupiah in,<br>Nolnya bakal berkurang juga?"
68,2025-11-26T22:09:42Z,@1988emfrid,LANGKAH YANG NGGA ADA MANFAATNYA TAPI BESAR RISIKONYA
69,2025-11-26T15:10:51Z,@Ardiyansyah2-g3v,Tetep aja jual barang rongsok turun tros dan bayar apa apa pake qelis yg gak pake qelis gimana yak klo gak ada cashles
70,2025-11-26T15:04:02Z,@mohdkhairi4126,SELAGI ADA KORUPSI ...PUNGLI.... TIPU susah untuk berjaya tak kira berapa kecil atau besar nol nya
71,2025-11-26T14:12:55Z,@Uiii514,Yang penting nilainya di kuatkan bukan membuang NOL nya
72,2025-11-26T09:41:44Z,@mohamadbagus6825,"Semua berawal dari yang riil baru yang ga riil seperti nilai mata uang<br>Sebetulnya jika standar uang Indonesia berdasarkan emas dan perak untuk redeominasi uang tidak ada masalahnya karena nilai emas dan perak stabil, tapi jika masih tetap standar uang ke dollar maka harus dieksekusi hati² sebab nilai dollar selalu berubah tergantung ekonomi riil dari Indonesia ke Luar Negeri"
73,2025-11-26T08:39:33Z,@KudaLaut-d2y,"Kalo orang selalu ke malaysia dia,tidak bingung.1 rupiah.angaplh jadi 1 ringit,ya kalo masalh hitung rupiah.lebih tinggilh ringgit"
74,2025-11-26T07:52:07Z,@keykey-x9c7v,ZAMAN SOEKARNO  UDAH DIPRAKTEKKAN DENOMINASI AP YG TRJADI RAKYAT BYK YG JATUH MISKIN U BWELISEMBAKO N AIR PUTIH MESTI NGANTRI BPULYUH TIBU..MALAN UBI AJA JD BRG MEWAH ZAMAN SOEKARNO SIOSTEM DENOMINASI ...TOLAK KEBIJAKAN PURBAYA MEMISKIN INDONESIA DENGAN SISTEM DENOMINASI MEMISKIN RAkyat membodi rakyat indonseis memanipulasi aset n kerja keras indonesia dengan nilai mun 2 milyar asetmu dihargai 2 juta merusak n memiskin n mnghancurkan ekoni n kesejahteraan rakyat indonesia
75,2025-11-26T07:45:52Z,@keykey-x9c7v,ni mbodohi rakyat indonesia memanipulasi uang indonesia memiskin takyat indonesia scr sistem  n harus digugat sluruh rakyat indonesia ke MK ... INI NMY KITA  GA MENGHARGAI KERJAKERAS N UANG N HARTA KITA KERJA KERAS ORGTUA KT..ANDA MAU NILAI HARTA ANDA 1 MILYAR JADI SEJUTA N BILA DI MONEY CHANGER DI LUARNEGRI  1 JUTA ANDA YAG  1 MILYA R DINILAI  CM 700$ DILUAR NEGRI ...S 700$ DI NEGASRA BRT CUMA BERTAHAN GA LEBIIH DR 2 MINGGU YANG ARTINYA 1 MILYAR MU DI INDONESIA SM DENGAN  1JUTA  M 1 JUTA MU DI MONEY CHANGER LUAR NEGRI SENILAI 700$ SUNGGUH MEDMISKIN N MNYENGSARAKAN INDONESIA SCR SISTEMATIS... TOLAK ITU SEMUA DR INDONMESIA
76,2025-11-26T04:45:38Z,@ArshadSudrajat-e7x,"Ilmu anda itu ga da apa2 nya di bandingin dengan ilmu pak Purbaya,, beliau orang pintar, pak Purbaya kalau sudah mengambil tindakan dan keputusan itu pasti sudah melalui pemikiran yang matang,<br>Anda dan orang2 yang membuat video seakan menolak redenominasi itu hanya takut miskin, iya anda hanya takut kelihatan miskin, padahal kalau rupiah di redenominasi orang yang kaya harta uangnya,  nol nya akan tetap terlihat lebih di banding harta uang orang miskin, misalnya setelah rupiah di redenominasi yang kaya punya uang 1000 yang miskin hanya punya 1 rupiah, tetap ada perbedaan yang kaya dan yang miskin,,<br>Redenominasi membawa banyak manfaat dan keuntungan bagi masyarakat dan negara Indonesia yang kita cintai,,<br>Janganlah takut, orang yang kaya akan tetap punya harta yang lebih di banding dengan orang miskin<br>Terima kasih pak Purbaya Yudi Sadewa telah mengambil keputusan yang baik untuk Indonesia 🙏<br>Maju terus Indonesia ku 💪"
77,2025-11-26T04:40:15Z,@the-trading-monk,"Anak muda ini dulu terdengar sok &amp; memilih escape plan kegagalannya beserta tim senilai puluhan Milyar. Tapi saat ini presentasi sudah semakin baik &amp; analisa yang dibuat semakin tajam. Keren Raymond, at least you&#39;re better than your rival."
78,2025-11-26T03:42:47Z,@kirimajabreekirimajabree,redenominasi buang buang anggaran karena harus nyetak duit baru buat gantiin yg lama
79,2025-11-26T02:23:45Z,@hairulpratama6330,"Khusus pemerintah g usah sibuk gantiin nominal huruf di uang yg lu harus urus gmn nih biar masyarakatnya bisa ngerubah semua ekonominya,percuma lu Gonta ganti gmn uang klw bahkan megang uang 1000 pun dalam sehari udah bersyukur bngt klw ada,yg di fikirin gmn buka lapangan kerja,tanpa melihat usia beda tetangga sebelah yg penting bisa kerja kerja g harus sekolah tinggi&quot; itupun sekolah tinggi&quot; nasib&quot; dapat kerjaan emang beda dari lain ini negara,gmn gak banyak masyarakat ngerantau buat keseharian aja di negara ini bikin pusing,"
80,2025-11-25T22:29:16Z,@rikicikay3765,Uang receh nya jangan di ilangkan biar aman tinggal ilangin nol nya aja mudah ko dan pihak semua bang harus ada jaminan penukaran uang biar bisa aman buat ada kembalian bila harga 7 rupiah uang nya 10 rupia jadi ada kembalian 3 rupiah mudah2 sukses buat Indonesia ❤❤❤
81,2025-11-25T20:23:21Z,@dhany3630,Menurut saya uang di negara +62 ini angkanya gede banget tp nilainya kecil banget itu pun usahanya  udah gede banget contohnya gini kita kerja keras jadi rkyat kecil gajinya gak seberapa itu kalo buat makan 1 kluarga blum tentu cukup
82,2025-11-25T16:49:48Z,@GSi-iv,Klo koruptor pegangnya dollar???
83,2025-11-25T14:32:53Z,@GARUDAJEPANG,Hanya koruptor. Oligarki. Partai politik kotor. Bisnis ilegal. Percetakan uang palsu dan bazer yg di bayar yg tidak mau redenominasi terjadi
84,2025-11-25T12:37:13Z,@azaqqichanel4731,Untuk emas LM redominasi berpengaruh ga ya? Mohon info nya kak.. trimakasih jawabannya
85,2025-11-25T12:15:35Z,@MakmurSentosa-k9s,"Prinsip nya purbaya yg penting viral biar rame masalah ekonomi nomer belakang paling ujung, yg penting omon2 nomer satu"
86,2025-11-25T10:32:15Z,@nengahsuryamina5494,Smart nyimak ajha deh...❤
87,2025-11-25T06:14:33Z,@akunsupriyatno4241,Jangankan  di rubah <br>Gak pakai uang pun jadi biyar tau juga gak ada yg korupsi di negara ini bos
88,2025-11-25T06:05:04Z,@mochammadlutfi7677,Bakal inflasi
89,2025-11-25T04:56:17Z,@anaremuka,Mau lu ilangin nolnya ampe ratusan... Kalau kursnya rendah... Percuma.... Lu pada bangga soal redenominasi... Tapi kurs rupiah merosot terjun bebas.... Mirip zimbabwe. Perbedaanya zimbabwe menambahkan Nol nya... Tapi tidak merubah kurs nya.... Ketololan apalagi yg di sajikan buat rakyat +62 ?
90,2025-11-25T02:07:32Z,@bisnisberkah3390,"Sepertinya Back to Gold Standard lebih jelas suksesinya. Semua uang lama ditukar dgn Emas atau Uang dengan Jaminan emas. ini pasti membangun kepercayaan. Masalahnya, tinggal pemerintah harus dapat menyediakan ketersediaan emas dalam negri. Bang RC ada yang perlu di ralat dari statemen dalam video, Redominalisasi tidak merubah Value tapi sebatas Price saja."
91,2025-11-25T02:00:24Z,@Djakvar,1 ringgit malaysia = kalau di rupiah berapa  ?
92,2025-11-25T00:35:27Z,@Duniahijau-j5y,"Yang jelas harus ganti uang baru,klu uang yang lama harus di tuker di bank dan harus sosialisasi ke masyarakat dengan media sosial dan TV,semua uang yang lama yang di edarkan harus di tarik dan di tuker  ,nol nya dikit nilai nya klu bisa tinggi👍👍"
93,2025-11-25T00:34:59Z,@hendri9446,Hanya nol nya yang dihilangkan harga tudak berubah jadi nilainya tetap sama asal mantaap saja sosialisasi supaya masyarakat paham kasih paham semua tingkat
94,2025-11-24T22:38:56Z,@rudyprawira,Besar ke gagal nya efek ke bisnis
95,2025-11-24T21:16:13Z,@MLBBshort-g8r,Alhamdulilah bisa kembali seperti dulu lagi🎉
96,2025-11-24T15:15:50Z,@my_cchi,"menurut saya,,  sekarang adalah waktu yg tepat..  karna hampir semua masyarakat indonesia sudah terbiasa dengan istilah 10K/10rb , 5k/5rb .. dan  memudahkan akuntansi....  apalagi jumlahnya banyak apa gk pusing itu pak mentri"
97,2025-11-24T11:34:42Z,@arnolajj5799,Sekarang aja di tempatku uwang jutaan nyebutnya ribu biar simpel dan akhirnya JD terbiasa nyebut 1jt JD seribu 😂
98,2025-11-24T11:06:00Z,@DewiCinta-l7f,Bang buka cerita kasus dosen cantik fakultas hukum Untag Semarang meninggal secara mendadak yg lagi viral akhir&quot; ini😢
99,2025-11-24T09:59:00Z,@jhendral282,Saya setuju 100% redenominasi
100,2025-11-24T09:47:13Z,@MichaelRodney-l6h,"Kalau gagal, thn 1998, 1 USD = Rp 16.800.000. Lihat sejarah Rp lewat bank dunia."
101,2025-11-24T04:16:10Z,@capAyam969,Raymond Chin<br>Subscribe ke 3.16M<br>☑️💪23/11/25<br>Malaysia
102,2025-11-24T03:02:01Z,@blitarunited6474,"Presiden RI sekarang ini harus banyak belajar dari mantan presiden BJ Habibie yg ketika sukses memimpin Indonesia hanya dlm 17 atau 18 bulan saja ,, andaikan ada lagi orang atau presiden RI yg punya kecerdasan tinggi sperti beliau lagi pasti insyaallah negara ini akan menjadi negara maju dan berkembang pesat lebih tinggi lagi,, smoga amal ibadah nya beliau BJ Habibie di terima di ampuni segala dosanya serta mendapatkan tempat yg mulia di sisi yg maha kuasa 🤲🙏🏻"
103,2025-11-24T02:53:05Z,@blitarunited6474,"Jika ingin sukses menjadi negara maju ya memang harus seperti menteri purbaya itu,, harus berani menghadapi tantangan serta berbagai resiko untuk nanti nya di hadapi di selesaikan bersama sama,, kalau dikit&quot; takut melangkah karena tidak berani menghadapi resikonya ya kapan negara ini akan maju,, tpi itu pikiranku ya,, gak tau juga orang lain,, karena untuk jadi pemimpin yg kuat secara fisik - mental - punya kecerdasan dan berani menghadapi berbagai tantangan serta resiko tinggi itu belum tentu semua pemimpin memiliki unsur dari apa apa yg ku sebut tdi ...."
104,2025-11-23T23:33:11Z,@MinatoYondaime-v3f,"Anak muda ini pasti buzzer para koruptor , redenominasi cara halus pukul koruptor, cm jgn di gembar gemborkan melainkan lsng aja ,agar koruptor tdk smpt menukar uangnya , tp yg paling sangar itu klo pemerintah berani cetak mata uang baru secara tiba2 dan diedarkan ketika bulan gajian tiba , sambil umumkan mata uang lama ga berlaku, efeknya memng bikin ekonomi kacau diawal, tp sdh resiko drpd korupsi terus merajalela, indonesia negara miskin tdk perlu takut ambil resiko, 😢"
105,2025-11-23T16:59:46Z,@bosq-is2871,Dari pada ribet mending bikin lagi 1mata uang baru dengan breding mata uang anti inflasi
106,2025-11-23T15:34:53Z,@HilmanJayadin,Elit global di lawan<br>Dajul hanya bisa di hindari...karena sebenarnya masalah kertas berharga tandatangan dajul itu tetaplah permainan dajul mau di rubah nolnya masih tetep kertas bukan emas
107,2025-11-23T12:25:30Z,@beezpra,Emang dijanji kampanye Prabowo sama Gibran ada redenominasi? Kok tiba2 ada wacana ini
108,2025-11-23T12:25:06Z,@user-ri8yz8uk3j,"1965 ekonomi blm stabil, soekarno ngamburin byk bgt duit bangun monas, stadion, hotel, jembatan cuman buat asian games iv, trs dilanjut ganefo dilanjut ganyang malaysia gimana ga ancur mata uang? Trs waktu itu blm ada medsos gimana caranya sosialisasi ke warga efektif coba? Kalau skrg ekonomi udh jauhhhh lbh stabil dari 1965, ada medsos dan untungnya kemenkeu dipegang org yg punya kredibilitas tinggi jadi masyarakat juga bisa percaya"
109,2025-11-23T11:07:58Z,@Tabedi-f8l,Bayangin beli nasi pakek qris baru duit dalam rekening ada 25jt. Ketik 25.000 dan boom hilang😂 semua
110,2025-11-23T08:52:26Z,@PerginataPA,"Sumbernya tempo,,,,,,,?<br>Halloooooo percaya loe sama tempo,atau Chanel ini kaki tangan tempo,,,,,?<br>Aduuhhhh antek asing"
111,2025-11-23T08:36:23Z,@gnkill7,Resiko nya itu ga ada lagi harga 500 rupiah yang  atau pedagang kecil yang ngaruh soalnya yang miskin akan makin mati liat aja nanti...soal nya di cekik..kalian enak banyak uang..sedangkan luar negri mereka memang negara yang sukses pengelola ekonomi mereka..sedangkan indonesia Pejabat nya aja ke taik belum lagi tambang tambang kebanyakan di indonesia bekerja sama ke luar negri sudah cukup saya cerita...Ingat jika ingin mau seperti itu silahkan tetapi ekonomi indonesia harus stabil karena kasian masyarakat kecil..
112,2025-11-23T08:23:52Z,@AhmadBaimC.H,"Ya harusnya si di banyakin dlu akses ke pendidikan, supaya di masa depan generasi kita gak plonga plongo KLO denger kata &quot;REDENOMINASI&quot;<br><br><br><br>tapi apalah daya hanya mimpi belaka, melihat kondisi Indonesia yang seperti skrng, sepertinya hanya akan membuat kekacauan baru, paling apes nya ya sampe ke hiperinflasi klo bnyk rakyat yang belum terdidik secara pintar 😂😂😂"
113,2025-11-23T04:37:30Z,@PujiasTuti-u3q,Setuju banget redenominasi keren Purbaya dan Prabowo
114,2025-11-23T02:56:03Z,@syahrulsyafiqsyafiq6456,Apakah nilainya naik atau tidak ngaruh
115,2025-11-23T02:08:40Z,@Na_zach,"Kalo 1 dollar us , history nolnya berapa ?"
116,2025-11-23T00:58:21Z,@danirinaldi2907,Dulu bukan redenominasi!
117,2025-11-22T23:10:16Z,@risyamiyah9044,Saya rasa aman2 aj deh bang klo nominalnya tetap . Tp yg diganti cuma cara pengucapannya .krn lebih mudah dan praktis klo nolnya banyak pun kita masih ad yg bingung. Didalam pembayaran memalui debit<br>Kadang kita salah ketik krn angka nolnya lebih/ kurang klo beneran diubah pokoknya aman2 aja asalkan nominal tetap
