,publisedAt,username,commentDisplay,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_final,Sentiment,Sentiment_Label
10,2025-12-09T23:47:22Z,@jawalriyadi8529,"Gak bakal ada time yg tepat di indonesia, pejabat maling semua",Gak bakal ada time yg tepat di indonesia pejabat maling semua,gak bakal ada time yg tepat di indonesia pejabat maling semua,tidak bakal ada time yang tepat di indonesia pejabat maling semua,"['tidak', 'bakal', 'ada', 'time', 'yang', 'tepat', 'di', 'indonesia', 'pejabat', 'maling', 'semua']","['time', 'indonesia', 'pejabat', 'maling']",time indonesia pejabat maling,1,Neutral
11,2025-12-09T19:19:25Z,@SIBONONG,"Solusinya di situ bikin 2 mata uang baru seperti turki, dengan nama rupiah menjadi new rupiah, agar masyarakat tidak kebingungan, ketika 2 mata uang beredar secara bersamaan",Solusinya di situ bikin  mata uang baru seperti turki dengan nama rupiah menjadi new rupiah agar masyarakat tidak kebingungan ketika  mata uang beredar secara bersamaan,solusinya di situ bikin  mata uang baru seperti turki dengan nama rupiah menjadi new rupiah agar masyarakat tidak kebingungan ketika  mata uang beredar secara bersamaan,solusinya di situ bikin mata uang baru seperti turki dengan nama rupiah menjadi new rupiah agar masyarakat tidak kebingungan ketika mata uang beredar secara bersamaan,"['solusinya', 'di', 'situ', 'bikin', 'mata', 'uang', 'baru', 'seperti', 'turki', 'dengan', 'nama', 'rupiah', 'menjadi', 'new', 'rupiah', 'agar', 'masyarakat', 'tidak', 'kebingungan', 'ketika', 'mata', 'uang', 'beredar', 'secara', 'bersamaan']","['solusinya', 'situ', 'bikin', 'mata', 'uang', 'turki', 'nama', 'rupiah', 'new', 'rupiah', 'masyarakat', 'kebingungan', 'mata', 'uang', 'beredar', 'bersamaan']",solusinya situ bikin mata uang turki nama rupiah new rupiah masyarakat kebingungan mata uang beredar bersamaan,0,Negative
12,2025-12-09T18:12:51Z,@SAMAKRUC04BROTHER,"Tujuannya bagaimana uang bangkit dari kuburnya...kemarin 900 M sdh bangkit dari kuburnya, bsk mulai ada lg uang bangkit dr kuburannya",Tujuannya bagaimana uang bangkit dari kuburnyakemarin  M sdh bangkit dari kuburnya bsk mulai ada lg uang bangkit dr kuburannya,tujuannya bagaimana uang bangkit dari kuburnyakemarin  m sdh bangkit dari kuburnya bsk mulai ada lg uang bangkit dr kuburannya,tujuannya bagaimana uang bangkit dari kuburnyakemarin m sdh bangkit dari kuburnya bsk mulai ada lg uang bangkit dr kuburannya,"['tujuannya', 'bagaimana', 'uang', 'bangkit', 'dari', 'kuburnyakemarin', 'm', 'sdh', 'bangkit', 'dari', 'kuburnya', 'bsk', 'mulai', 'ada', 'lg', 'uang', 'bangkit', 'dr', 'kuburannya']","['tujuannya', 'uang', 'bangkit', 'kuburnyakemarin', 'sdh', 'bangkit', 'kuburnya', 'bsk', 'lg', 'uang', 'bangkit', 'dr', 'kuburannya']",tujuannya uang bangkit kuburnyakemarin sdh bangkit kuburnya bsk lg uang bangkit dr kuburannya,2,Positive
13,2025-12-09T12:38:31Z,@trigunawan4288,Nasib uang koin gimna y,Nasib uang koin gimna y,nasib uang koin gimna y,nasib uang koin gimna y,"['nasib', 'uang', 'koin', 'gimna', 'y']","['nasib', 'uang', 'koin', 'gimna']",nasib uang koin gimna,1,Neutral
14,2025-12-09T01:28:36Z,@muhammadsyahrir6771,"Lebih baik harus ada waktu sosialisasi fisik uang yang tidak membingungkan masyarakat dengan mencetak uang baru dengan model yang tidak bebeda dengan uang beredar tetapi di satu sisi ditambah dengan nilai rupiah redominasi, lalu tahap selanjutnya dengan model uang yang sama tetapi sudah dengan nilai redominasi (artinya angka rp dengan penulisan angka redominasi sdh umum di masyarakat dalam melakukan transaksi)",Lebih baik harus ada waktu sosialisasi fisik uang yang tidak membingungkan masyarakat dengan mencetak uang baru dengan model yang tidak bebeda dengan uang beredar tetapi di satu sisi ditambah dengan nilai rupiah redominasi lalu tahap selanjutnya dengan model uang yang sama tetapi sudah dengan nilai redominasi artinya angka rp dengan penulisan angka redominasi sdh umum di masyarakat dalam melakukan transaksi,lebih baik harus ada waktu sosialisasi fisik uang yang tidak membingungkan masyarakat dengan mencetak uang baru dengan model yang tidak bebeda dengan uang beredar tetapi di satu sisi ditambah dengan nilai rupiah redominasi lalu tahap selanjutnya dengan model uang yang sama tetapi sudah dengan nilai redominasi artinya angka rp dengan penulisan angka redominasi sdh umum di masyarakat dalam melakukan transaksi,lebih baik harus ada waktu sosialisasi fisik uang yang tidak membingungkan masyarakat dengan mencetak uang baru dengan model yang tidak bebeda dengan uang beredar tetapi di satu sisi ditambah dengan nilai rupiah redominasi lalu tahap selanjutnya dengan model uang yang sama tetapi sudah dengan nilai redominasi artinya angka rp dengan penulisan angka redominasi sdh umum di masyarakat dalam melakukan transaksi,"['lebih', 'baik', 'harus', 'ada', 'waktu', 'sosialisasi', 'fisik', 'uang', 'yang', 'tidak', 'membingungkan', 'masyarakat', 'dengan', 'mencetak', 'uang', 'baru', 'dengan', 'model', 'yang', 'tidak', 'bebeda', 'dengan', 'uang', 'beredar', 'tetapi', 'di', 'satu', 'sisi', 'ditambah', 'dengan', 'nilai', 'rupiah', 'redominasi', 'lalu', 'tahap', 'selanjutnya', 'dengan', 'model', 'uang', 'yang', 'sama', 'tetapi', 'sudah', 'dengan', 'nilai', 'redominasi', 'artinya', 'angka', 'rp', 'dengan', 'penulisan', 'angka', 'redominasi', 'sdh', 'umum', 'di', 'masyarakat', 'dalam', 'melakukan', 'transaksi']","['sosialisasi', 'fisik', 'uang', 'membingungkan', 'masyarakat', 'mencetak', 'uang', 'model', 'bebeda', 'uang', 'beredar', 'sisi', 'ditambah', 'nilai', 'rupiah', 'redominasi', 'tahap', 'model', 'uang', 'nilai', 'redominasi', 'angka', 'rp', 'penulisan', 'angka', 'redominasi', 'sdh', 'masyarakat', 'transaksi']",sosialisasi fisik uang membingungkan masyarakat mencetak uang model bebeda uang beredar sisi ditambah nilai rupiah redominasi tahap model uang nilai redominasi angka rp penulisan angka redominasi sdh masyarakat transaksi,2,Positive
15,2025-12-08T14:02:00Z,@ajiSaka-c1s,"Katanya kegagalan adalah kesuksesan yg tertunda👉😇🙄🤔🤔🤫🤭🤗😆😃,kalau kita tdk percaya pemerintah yg sdh menghitung 💯 xxx",Katanya kegagalan adalah kesuksesan yg tertundakalau kita tdk percaya pemerintah yg sdh menghitung  xxx,katanya kegagalan adalah kesuksesan yg tertundakalau kita tdk percaya pemerintah yg sdh menghitung  xxx,katanya kegagalan adalah kesuksesan yang tertundakalau kita tidak percaya pemerintah yang sdh menghitung xxx,"['katanya', 'kegagalan', 'adalah', 'kesuksesan', 'yang', 'tertundakalau', 'kita', 'tidak', 'percaya', 'pemerintah', 'yang', 'sdh', 'menghitung', 'xxx']","['kegagalan', 'kesuksesan', 'tertundakalau', 'percaya', 'pemerintah', 'sdh', 'menghitung', 'xxx']",kegagalan kesuksesan tertundakalau percaya pemerintah sdh menghitung xxx,2,Positive
16,2025-12-05T08:41:43Z,@NurilAqbar-b7n,Ikut dasar uang lama jaman pak Sukarno uangnya aji,Ikut dasar uang lama jaman pak Sukarno uangnya aji,ikut dasar uang lama jaman pak sukarno uangnya aji,ikut dasar uang lama jaman pak sukarno uangnya aji,"['ikut', 'dasar', 'uang', 'lama', 'jaman', 'pak', 'sukarno', 'uangnya', 'aji']","['dasar', 'uang', 'jaman', 'sukarno', 'uangnya', 'aji']",dasar uang jaman sukarno uangnya aji,2,Positive
17,2025-12-05T08:36:11Z,@sutrisnotv5013,"Dampak nya, penjual yg belum ngerti asal jual harga barang. Ada yang kemahalan ada yg kemurahan",Dampak nya penjual yg belum ngerti asal jual harga barang Ada yang kemahalan ada yg kemurahan,dampak nya penjual yg belum ngerti asal jual harga barang ada yang kemahalan ada yg kemurahan,dampak nya penjual yang belum ngerti asal jual harga barang ada yang kemahalan ada yang kemurahan,"['dampak', 'nya', 'penjual', 'yang', 'belum', 'ngerti', 'asal', 'jual', 'harga', 'barang', 'ada', 'yang', 'kemahalan', 'ada', 'yang', 'kemurahan']","['dampak', 'penjual', 'ngerti', 'jual', 'harga', 'barang', 'kemahalan', 'kemurahan']",dampak penjual ngerti jual harga barang kemahalan kemurahan,0,Negative
18,2025-12-05T06:23:26Z,@mochamadmaksum471,"REDONOMONASI = SANERING th.1965.<br>Kebijakan Ekonomi yang dilakukan pemerintah  sejak Gunting Syafrudin , SANERING , Pakto merevaluasi Rupiah dan mendevalauasi Rupiah GAGAL TOTAL , korban ratusan juta rakyat kecil hingga jumlah warga miskin meningkat .<br>Rencana REDONOMINASI akan sukes  bila  persediaan SEMBAKO cukup di pasaran dan harga tidak naik . Kalau barang kosong harga pasti naik terjadilah HYPER INFLASI ,  juga  kwalitas uang REDONOMINASI baik = setara dengan uang lama ,  jangan seperti dulu uang SANERING  kecil  kaya  uang  mainan .<br>Ketahuilah bahwa penjahat EKONOMI di Indonesia banyak sekali.<br>Pengambil kebijakan hanya menyoroti rakyat klas menengah dan atas tak memikirkan ratusan juta  rakyat  miskin .<br>Pikir yang baik - baik , maksud nya mau memperbaiki ekonomi rakyat atau mau menghancurkan ekonomi rakyat .<br>Gitu pak Menteri Keuangan .",REDONOMONASI  SANERING thbrKebijakan Ekonomi yang dilakukan pemerintah  sejak Gunting Syafrudin  SANERING  Pakto merevaluasi Rupiah dan mendevalauasi Rupiah GAGAL TOTAL  korban ratusan juta rakyat kecil hingga jumlah warga miskin meningkat brRencana REDONOMINASI akan sukes  bila  persediaan SEMBAKO cukup di pasaran dan harga tidak naik  Kalau barang kosong harga pasti naik terjadilah HYPER INFLASI   juga  kwalitas uang REDONOMINASI baik  setara dengan uang lama   jangan seperti dulu uang SANERING  kecil  kaya  uang  mainan brKetahuilah bahwa penjahat EKONOMI di Indonesia banyak sekalibrPengambil kebijakan hanya menyoroti rakyat klas menengah dan atas tak memikirkan ratusan juta  rakyat  miskin brPikir yang baik  baik  maksud nya mau memperbaiki ekonomi rakyat atau mau menghancurkan ekonomi rakyat brGitu pak Menteri Keuangan,redonomonasi  sanering thbrkebijakan ekonomi yang dilakukan pemerintah  sejak gunting syafrudin  sanering  pakto merevaluasi rupiah dan mendevalauasi rupiah gagal total  korban ratusan juta rakyat kecil hingga jumlah warga miskin meningkat brrencana redonominasi akan sukes  bila  persediaan sembako cukup di pasaran dan harga tidak naik  kalau barang kosong harga pasti naik terjadilah hyper inflasi   juga  kwalitas uang redonominasi baik  setara dengan uang lama   jangan seperti dulu uang sanering  kecil  kaya  uang  mainan brketahuilah bahwa penjahat ekonomi di indonesia banyak sekalibrpengambil kebijakan hanya menyoroti rakyat klas menengah dan atas tak memikirkan ratusan juta  rakyat  miskin brpikir yang baik  baik  maksud nya mau memperbaiki ekonomi rakyat atau mau menghancurkan ekonomi rakyat brgitu pak menteri keuangan,redonomonasi sanering thbrkebijakan ekonomi yang dilakukan pemerintah sejak gunting syafrudin sanering pakto merevaluasi rupiah dan mendevalauasi rupiah gagal total korban ratusan juta rakyat kecil hingga jumlah warga miskin meningkat brrencana redonominasi akan sukes bila persediaan sembako cukup di pasaran dan harga tidak naik kalau barang kosong harga pasti naik terjadilah hyper inflasi juga kwalitas uang redonominasi baik setara dengan uang lama jangan seperti dulu uang sanering kecil kaya uang mainan brketahuilah bahwa penjahat ekonomi di indonesia banyak sekalibrpengambil kebijakan hanya menyoroti rakyat klas menengah dan atas tak memikirkan ratusan juta rakyat miskin brpikir yang baik baik maksud nya mau memperbaiki ekonomi rakyat atau mau menghancurkan ekonomi rakyat brgitu pak menteri keuangan,"['redonomonasi', 'sanering', 'thbrkebijakan', 'ekonomi', 'yang', 'dilakukan', 'pemerintah', 'sejak', 'gunting', 'syafrudin', 'sanering', 'pakto', 'merevaluasi', 'rupiah', 'dan', 'mendevalauasi', 'rupiah', 'gagal', 'total', 'korban', 'ratusan', 'juta', 'rakyat', 'kecil', 'hingga', 'jumlah', 'warga', 'miskin', 'meningkat', 'brrencana', 'redonominasi', 'akan', 'sukes', 'bila', 'persediaan', 'sembako', 'cukup', 'di', 'pasaran', 'dan', 'harga', 'tidak', 'naik', 'kalau', 'barang', 'kosong', 'harga', 'pasti', 'naik', 'terjadilah', 'hyper', 'inflasi', 'juga', 'kwalitas', 'uang', 'redonominasi', 'baik', 'setara', 'dengan', 'uang', 'lama', 'jangan', 'seperti', 'dulu', 'uang', 'sanering', 'kecil', 'kaya', 'uang', 'mainan', 'brketahuilah', 'bahwa', 'penjahat', 'ekonomi', 'di', 'indonesia', 'banyak', 'sekalibrpengambil', 'kebijakan', 'hanya', 'menyoroti', 'rakyat', 'klas', 'menengah', 'dan', 'atas', 'tak', 'memikirkan', 'ratusan', 'juta', 'rakyat', 'miskin', 'brpikir', 'yang', 'baik', 'baik', 'maksud', 'nya', 'mau', 'memperbaiki', 'ekonomi', 'rakyat', 'atau', 'mau', 'menghancurkan', 'ekonomi', 'rakyat', 'brgitu', 'pak', 'menteri', 'keuangan']","['redonomonasi', 'sanering', 'thbrkebijakan', 'ekonomi', 'pemerintah', 'gunting', 'syafrudin', 'sanering', 'pakto', 'merevaluasi', 'rupiah', 'mendevalauasi', 'rupiah', 'gagal', 'total', 'korban', 'ratusan', 'juta', 'rakyat', 'warga', 'miskin', 'meningkat', 'brrencana', 'redonominasi', 'sukes', 'persediaan', 'sembako', 'pasaran', 'harga', 'barang', 'kosong', 'harga', 'hyper', 'inflasi', 'kwalitas', 'uang', 'redonominasi', 'setara', 'uang', 'uang', 'sanering', 'kaya', 'uang', 'mainan', 'brketahuilah', 'penjahat', 'ekonomi', 'indonesia', 'sekalibrpengambil', 'kebijakan', 'menyoroti', 'rakyat', 'klas', 'menengah', 'memikirkan', 'ratusan', 'juta', 'rakyat', 'miskin', 'brpikir', 'maksud', 'memperbaiki', 'ekonomi', 'rakyat', 'menghancurkan', 'ekonomi', 'rakyat', 'brgitu', 'menteri', 'keuangan']",redonomonasi sanering thbrkebijakan ekonomi pemerintah gunting syafrudin sanering pakto merevaluasi rupiah mendevalauasi rupiah gagal total korban ratusan juta rakyat warga miskin meningkat brrencana redonominasi sukes persediaan sembako pasaran harga barang kosong harga hyper inflasi kwalitas uang redonominasi setara uang uang sanering kaya uang mainan brketahuilah penjahat ekonomi indonesia sekalibrpengambil kebijakan menyoroti rakyat klas menengah memikirkan ratusan juta rakyat miskin brpikir maksud memperbaiki ekonomi rakyat menghancurkan ekonomi rakyat brgitu menteri keuangan,2,Positive
19,2025-12-04T12:31:17Z,@noone-u1r4c,Jaman sekarang anak2 udah pinta2,Jaman sekarang anak udah pinta,jaman sekarang anak udah pinta,jaman sekarang anak udah pinta,"['jaman', 'sekarang', 'anak', 'udah', 'pinta']","['jaman', 'anak', 'udah', 'pinta']",jaman anak udah pinta,2,Positive
20,2025-12-04T11:22:32Z,@venoza4120,"Langkah bagus ,untuk maksa tikus berdasi ngeluarin uangnya atau membiarkan busuk diberangkas",Langkah bagus untuk maksa tikus berdasi ngeluarin uangnya atau membiarkan busuk diberangkas,langkah bagus untuk maksa tikus berdasi ngeluarin uangnya atau membiarkan busuk diberangkas,langkah bagus untuk maksa tikus berdasi ngeluarin uangnya atau membiarkan busuk diberangkas,"['langkah', 'bagus', 'untuk', 'maksa', 'tikus', 'berdasi', 'ngeluarin', 'uangnya', 'atau', 'membiarkan', 'busuk', 'diberangkas']","['langkah', 'bagus', 'maksa', 'tikus', 'berdasi', 'ngeluarin', 'uangnya', 'membiarkan', 'busuk', 'diberangkas']",langkah bagus maksa tikus berdasi ngeluarin uangnya membiarkan busuk diberangkas,2,Positive
21,2025-12-04T09:14:04Z,@dewaangga5314,Krna dulu   dulu org nya mashi gk pinter kyk skrg,Krna dulu   dulu org nya mashi gk pinter kyk skrg,krna dulu   dulu org nya mashi gk pinter kyk skrg,krna dulu dulu orang nya mashi gk pinter kyk skrg,"['krna', 'dulu', 'dulu', 'orang', 'nya', 'mashi', 'gk', 'pinter', 'kyk', 'skrg']","['krna', 'orang', 'mashi', 'pinter', 'kyk', 'skrg']",krna orang mashi pinter kyk skrg,2,Positive
22,2025-12-04T08:22:33Z,@akhlaqdanbudipekerti4817,"Yg bikin inflasi ya para pedagang di lapangan<br>Trus klo tidak mencetak uang cent,pasti inflasi,karena cenderung membulatkan harga",Yg bikin inflasi ya para pedagang di lapanganbrTrus klo tidak mencetak uang centpasti inflasikarena cenderung membulatkan harga,yg bikin inflasi ya para pedagang di lapanganbrtrus klo tidak mencetak uang centpasti inflasikarena cenderung membulatkan harga,yang bikin inflasi ya para pedagang di lapanganbrtrus klo tidak mencetak uang centpasti inflasikarena cenderung membulatkan harga,"['yang', 'bikin', 'inflasi', 'ya', 'para', 'pedagang', 'di', 'lapanganbrtrus', 'klo', 'tidak', 'mencetak', 'uang', 'centpasti', 'inflasikarena', 'cenderung', 'membulatkan', 'harga']","['bikin', 'inflasi', 'pedagang', 'lapanganbrtrus', 'klo', 'mencetak', 'uang', 'centpasti', 'inflasikarena', 'cenderung', 'membulatkan', 'harga']",bikin inflasi pedagang lapanganbrtrus klo mencetak uang centpasti inflasikarena cenderung membulatkan harga,0,Negative
23,2025-12-04T07:32:00Z,@Ahmadkasirwan,"Yg berhujah itu adalah org yg tk mau kemajuan negara sendiri,dan Indonesia itu negara kaya dan kamu Singapura negara TDK punya tapi nilai nya tinggi ok,",Yg berhujah itu adalah org yg tk mau kemajuan negara sendiridan Indonesia itu negara kaya dan kamu Singapura negara TDK punya tapi nilai nya tinggi ok,yg berhujah itu adalah org yg tk mau kemajuan negara sendiridan indonesia itu negara kaya dan kamu singapura negara tdk punya tapi nilai nya tinggi ok,yang berhujah itu adalah orang yang tk mau kemajuan negara sendiridan indonesia itu negara kaya dan kamu singapura negara tidak punya tapi nilai nya tinggi ok,"['yang', 'berhujah', 'itu', 'adalah', 'orang', 'yang', 'tk', 'mau', 'kemajuan', 'negara', 'sendiridan', 'indonesia', 'itu', 'negara', 'kaya', 'dan', 'kamu', 'singapura', 'negara', 'tidak', 'punya', 'tapi', 'nilai', 'nya', 'tinggi', 'ok']","['berhujah', 'orang', 'tk', 'kemajuan', 'negara', 'sendiridan', 'indonesia', 'negara', 'kaya', 'singapura', 'negara', 'nilai', 'ok']",berhujah orang tk kemajuan negara sendiridan indonesia negara kaya singapura negara nilai ok,2,Positive
24,2025-12-04T02:58:18Z,@HendangSaripudin-o7g,Jangan menakut nakuti masyarakat jgn pikir hanya kamu yg pintar,Jangan menakut nakuti masyarakat jgn pikir hanya kamu yg pintar,jangan menakut nakuti masyarakat jgn pikir hanya kamu yg pintar,jangan menakut nakuti masyarakat jgn pikir hanya kamu yang pintar,"['jangan', 'menakut', 'nakuti', 'masyarakat', 'jgn', 'pikir', 'hanya', 'kamu', 'yang', 'pintar']","['menakut', 'nakuti', 'masyarakat', 'jgn', 'pikir', 'pintar']",menakut nakuti masyarakat jgn pikir pintar,1,Neutral
25,2025-12-03T22:17:28Z,@danoerdhara3963,"Keknya dibali cepet menyesuaikan deh, karna dari dulu udah ngomongnya 1jt =1000, <br>Iyaa, kami dibali sudah dari dulu menggampangkan (biar gampang) dan semuanya cepet mengerti",Keknya dibali cepet menyesuaikan deh karna dari dulu udah ngomongnya jt  brIyaa kami dibali sudah dari dulu menggampangkan biar gampang dan semuanya cepet mengerti,keknya dibali cepet menyesuaikan deh karna dari dulu udah ngomongnya jt  briyaa kami dibali sudah dari dulu menggampangkan biar gampang dan semuanya cepet mengerti,keknya dibali cepet menyesuaikan deh karna dari dulu udah ngomongnya jt briyaa kami dibali sudah dari dulu menggampangkan biar gampang dan semuanya cepet mengerti,"['keknya', 'dibali', 'cepet', 'menyesuaikan', 'deh', 'karna', 'dari', 'dulu', 'udah', 'ngomongnya', 'jt', 'briyaa', 'kami', 'dibali', 'sudah', 'dari', 'dulu', 'menggampangkan', 'biar', 'gampang', 'dan', 'semuanya', 'cepet', 'mengerti']","['keknya', 'dibali', 'cepet', 'menyesuaikan', 'deh', 'karna', 'udah', 'ngomongnya', 'jt', 'briyaa', 'dibali', 'menggampangkan', 'biar', 'gampang', 'cepet', 'mengerti']",keknya dibali cepet menyesuaikan deh karna udah ngomongnya jt briyaa dibali menggampangkan biar gampang cepet mengerti,2,Positive
